"No.","Time","DeltaDisplay","DeltaApplication","Source","Destination","Protocol","Len","ColorRule","Protocol","IP TTL","Stream#","SEQ","DNS TTL","DNS Retrans","QType","RType","Transaction ID","Info"
"32","0.560205","0.000123","","10.42.0.184","143.204.11.14","TCP","66","4-TCP","TCP","64","0","1051","","","","","","43327  >  https(443) [ACK] Seq=1051 Ack=8749 Win=102912 Len=0 TSval=3587306 TSecr=159322421"
"33","0.560247","0.000042","","10.42.0.184","143.204.11.14","TCP","78","4-TCP","TCP","64","0","1051","","","","","","[TCP Window Update] 43327  >  https(443) [ACK] Seq=1051 Ack=8749 Win=105984 Len=0 TSval=3587306 TSecr=159322421 SLE=10095 SRE=11441"
"34","0.560328","0.000081","","10.42.0.184","143.204.11.14","TCP","66","4-TCP","TCP","64","0","1051","","","","","","43327  >  https(443) [ACK] Seq=1051 Ack=11441 Win=108544 Len=0 TSval=3587306 TSecr=159322421"
"35","0.560461","0.000133","","10.42.0.184","143.204.11.14","TCP","66","4-TCP","TCP","64","0","1051","","","","","","43327  >  https(443) [ACK] Seq=1051 Ack=11486 Win=108544 Len=0 TSval=3587306 TSecr=159322421"
"36","0.572152","0.011691","","10.42.0.184","143.204.11.14","TLSv1.2","104","7-TLS","TCP","64","0","1051","","","","","","Application Data"
"37","0.753967","0.181815","","143.204.11.14","10.42.0.184","TCP","66","4-TCP","TCP","245","0","11486","","","","","","https(443)  >  43327 [ACK] Seq=11486 Ack=1089 Win=32256 Len=0 TSval=159322441 TSecr=3587308"
"38","33896998.378457","33896997.624490","","10.42.0.142","142.250.184.234","UDP","1392","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=1350"
"39","33896998.637504","0.259047","","142.250.184.234","10.42.0.142","UDP","1392","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=1350"
"40","33896998.640547","0.003043","","10.42.0.142","142.250.184.234","UDP","1392","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=1350"
"41","33896998.646326","0.005779","","142.250.184.234","10.42.0.142","UDP","1392","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=1350"
"42","33896998.646339","0.000013","","142.250.184.234","10.42.0.142","UDP","542","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=500"
"43","33896998.646342","0.000003","","142.250.184.234","10.42.0.142","UDP","1392","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=1350"
"44","33896998.646804","0.000462","","10.42.0.142","142.250.184.234","UDP","83","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=41"
"45","33896998.646976","0.000172","","10.42.0.142","142.250.184.234","UDP","83","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=41"
"46","33896998.649447","0.002471","","10.42.0.142","142.250.184.234","UDP","125","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=83"
"47","33896998.649590","0.000143","","10.42.0.142","142.250.184.234","UDP","111","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=69"
"48","33896998.663432","0.013842","","10.42.0.142","142.250.184.234","UDP","523","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=481"
